taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
197	species	Campylobacter jejuni	197	1	4	3	3	2.23	0.98	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
165799	species	Cyanospira rippkae	1	4	4	4	4	4.00	0.00	[4]
946381	species	Cyanospira capsulata	1	4	4	4	4	4.00	0.00	[4]
2238	species	Haloarcula marismortui	3	2	3	3	3	2.67	0.47	[2, 3, 3]
171164	species	Halosimplex carlsbadense	1	2	2	2	2	2.00	0.00	[2]
210	species	Helicobacter pylori	195	1	2	2	2	1.95	0.22	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
231715	species	Natrinema sp. XA3-1	1	4	4	4	4	4.00	0.00	[4]
183	species	Leptonema illini	1	2	2	2	2	2.00	0.00	[2]
172	species	Leptospira biflexa	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
94045	species	Leptospira sp. Akiyami C	1	2	2	2	2	2.00	0.00	[2]
173	species	Leptospira interrogans	26	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
64667	species	Mycobacterium lepraemurium	1	1	1	1	1	1.00	0.00	[1]
70799	species	Nodularia spumigena	2	4	4	4	4.0	4.00	0.00	[4, 4]
124	species	Blastopirellula marina	1	2	2	2	2	2.00	0.00	[2]
380	species	Sinorhizobium fredii	6	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3]
384	species	Rhizobium leguminosarum	25	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
382	species	Sinorhizobium meliloti	24	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
147	species	Spirochaeta aurantia	2	2	3		2.5	2.50	0.50	[3, 2]
2137	species	Spiroplasma apis	2	1	2		1.5	1.50	0.50	[2, 1]
2136	species	Spiroplasma monobiae	2	1	1	1	1.0	1.00	0.00	[1, 1]
2134	species	Spiroplasma melliferum	2	1	1	1	1.0	1.00	0.00	[1, 1]
392734	species	Terriglobus roseus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
278961	species	Terriglobus sp. TAA 43	1	1	1	1	1	1.00	0.00	[1]
278962	species	Terriglobus sp. TAA 48	1	1	1	1	1	1.00	0.00	[1]
35622	species	Thermostaphylospora chromogena	1	6	6	6	6	6.00	0.00	[6]
162	species	Treponema phagedenis	7	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
2094	species	Mycoplasma arginini	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2121	species	Mycoplasma orale	2	1	1	1	1.0	1.00	0.00	[1, 1]
196	species	Campylobacter fetus	21	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
1828	species	Rhodococcus fascians	5	4	5	4	4	4.20	0.40	[4, 4, 5, 4, 4]
562	species	Escherichia coli	1413	1	11	7	7	7.00	0.28	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 9, 10, 8, 9, 11, 7, 7, 10, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
29346	species	[Clostridium] paradoxum	1	15	15	15	15	15.00	0.00	[15]
1311	species	Streptococcus agalactiae	80	5	8	7	7.0	6.91	0.45	[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8, 5, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8]
1502	species	Clostridium perfringens	19	8	10	10	10	9.79	0.61	[10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10]
1718	species	Corynebacterium glutamicum	30	5	6	6	6.0	5.93	0.25	[5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
33002	species	Desulfurella acetivorans	2	2	2	2	2.0	2.00	0.00	[2, 2]
79269	species	Desulfurella multipotens	1	2	2	2	2	2.00	0.00	[2]
1855	species	Frankia sp.	1	2	2	2	2	2.00	0.00	[2]
1590	species	Lactiplantibacillus plantarum	135	1	5	5	5	4.93	0.50	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]
1358	species	Lactococcus lactis	48	5	6	6	6.0	5.94	0.24	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
1769	species	Mycobacterium leprae	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
2095	species	Mycoplasma capricolum	28	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2102	species	Mycoplasma mycoides	29	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
1772	species	Mycolicibacterium smegmatis	8	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2]
1771	species	Mycolicibacterium phlei	2	2	2	2	2.0	2.00	0.00	[2, 2]
1767	species	Mycobacterium intracellulare	18	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
59748	species	Candidatus Phytoplasma australiense	2	2	2	2	2.0	2.00	0.00	[2, 2]
316	species	Pseudomonas stutzeri	38	4	7	4	4.0	4.16	0.67	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
74829	species	Pseudomonas balearica	3	4	4	4	4	4.00	0.00	[4, 4, 4]
1308	species	Streptococcus thermophilus	66	5	6	6	6.0	5.67	0.47	[6, 6, 6, 6, 5, 6, 5, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 5, 6, 6, 5, 5, 6, 6, 6, 5, 5, 6, 6, 6, 5, 6, 6, 5, 6, 6, 5, 5, 6, 5, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5]
1911	species	Streptomyces griseus	3	6	6	6	6	6.00	0.00	[6, 6, 6]
40318	species	Streptomyces nodosus	2	6	6	6	6.0	6.00	0.00	[6, 6]
244363	species	Haloarcula californiae	1	4	4	4	4	4.00	0.00	[4]
35746	species	Haloferax gibbonsii	3	2	4	2	2	2.67	0.94	[4, 2, 2]
2242	species	Halobacterium salinarum	5	1	3	1	1	1.40	0.80	[3, 1, 1, 1, 1]
2250	species	Halococcus morrhuae	1	2	2	2	2	2.00	0.00	[2]
691	species	Vibrio natriegens	6	11	13	12	12.0	12.00	0.58	[13, 11, 12, 12, 12, 12]
2303	species	Thermoplasma acidophilum	2	1	1	1	1.0	1.00	0.00	[1, 1]
2271	species	Thermoproteus tenax	2	1	1	1	1.0	1.00	0.00	[1, 1]
1655	species	Actinomyces naeslundii	2	3	3	3	3.0	3.00	0.00	[3, 3]
35744	species	Halobacterium sp. GRB	1	1	1	1	1	1.00	0.00	[1]
29519	species	Borreliella garinii	6	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1]
29518	species	Borreliella afzelii	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
666	species	Vibrio cholerae	87	7	11	10	9	9.02	1.03	[7, 8, 8, 7, 8, 7, 7, 8, 9, 10, 7, 8, 10, 7, 8, 7, 10, 8, 9, 11, 8, 9, 10, 9, 8, 9, 10, 10, 9, 8, 9, 8, 9, 7, 9, 10, 10, 9, 9, 10, 9, 9, 10, 10, 9, 8, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 8, 10, 9, 9, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 8, 9, 9, 9, 9, 7]
1313	species	Streptococcus pneumoniae	81	1	5	4	4	3.79	0.80	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1]
1396	species	Bacillus cereus	70	10	16	14	14.0	13.69	0.89	[13, 13, 12, 13, 13, 14, 14, 13, 12, 14, 11, 12, 14, 13, 14, 13, 14, 14, 14, 13, 13, 14, 14, 14, 13, 14, 10, 14, 16, 15, 13, 14, 13, 15, 15, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 13, 13, 14, 14, 14]
1428	species	Bacillus thuringiensis	61	11	15	14	14	13.39	0.89	[13, 13, 13, 13, 14, 14, 14, 13, 12, 14, 15, 14, 12, 13, 15, 13, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 14, 13, 13, 12, 12, 14, 13, 13, 12, 12, 15, 14, 13, 11, 13, 12, 14, 14, 14, 14, 14, 12, 14, 15, 14, 14, 12, 14, 13, 14, 13, 14, 14, 14, 12]
1405	species	Bacillus mycoides	10	1	14	14	14.0	12.50	3.88	[14, 14, 14, 14, 14, 14, 1, 12, 14, 14]
2275	species	Desulfurococcus mucosus	2	1	1	1	1.0	1.00	0.00	[1, 1]
2288	species	Sulfolobus sp.	1	1	1	1	1	1.00	0.00	[1]
955	species	Wolbachia pipientis	8	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
358	species	Agrobacterium tumefaciens	18	3	5	4	4.0	4.22	0.53	[4, 3, 5, 4, 4, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5]
383631	species	Methylophilales bacterium HTCC2181	1	1	1	1	1	1.00	0.00	[1]
47493	species	Lactobacillus panis	1	5	5	5	5	5.00	0.00	[5]
52242	species	Lactobacillus gallinarum	2	4	4	4	4.0	4.00	0.00	[4, 4]
1267533	species	Acidobacteriaceae bacterium KBS 83	1	1	1	1	1	1.00	0.00	[1]
639034	species	Bryobacterales bacterium KBS 96	1	2	2	2	2	2.00	0.00	[2]
263437	species	Wolbachia endosymbiont of Culex quinquefasciatus	1	1	1	1	1	1.00	0.00	[1]
33059	species	Acidithiobacillus caldus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
294	species	Pseudomonas fluorescens	25	1	6	6	6	5.16	1.35	[5, 5, 6, 5, 6, 6, 6, 6, 5, 1, 1, 6, 6, 5, 5, 5, 6, 6, 5, 6, 6, 5, 6, 4, 6]
88058	species	Treponema primitia	2	2	2	2	2.0	2.00	0.00	[2, 2]
436	species	Komagataeibacter hansenii	2	2	5		3.5	3.50	1.50	[2, 5]
272129	species	Kamptonema sp. PCC 6506	1	1	1	1	1	1.00	0.00	[1]
344736	species	Salipiger bermudensis	1	4	4	4	4	4.00	0.00	[4]
404236	species	Maritimibacter alkaliphilus	1	1	1	1	1	1.00	0.00	[1]
217159	species	Clostridium carboxidivorans	2	3	11		7.0	7.00	4.00	[3, 11]
422441	species	Stenoxybacter acetivorans	1	4	4	4	4	4.00	0.00	[4]
1610	species	Lactobacillus coryniformis	4	1	5	5	5.0	4.00	1.73	[1, 5, 5, 5]
